State,PWSName,County
IA,ALTOONA WATER SUPPLY,Polk County
IA,SOUTHEAST POLK RWD,Polk County
IA,GRINNELL WATER DEPARTMENT,Poweshiek County
IA,REGIONAL WATER,Clay County
IA,HARLAN MUNICIPAL UTILITIES,Shelby County
IA,PORTSMOUTH WATER SUPPLY,Newport County
IA,AMES WATER TREATMENT PLANT,Story County
IA,ISU,Story County
IA,CAMBRIDGE WATER SUPPLY,Story County
IA,HUXLEY WATERWORKS DEPT,Story County
IA,NEVADA WATER SUPPLY,Story County
IA,POWESHIEK WATER ASSOCIATION,Poweshiek County
IA,WAPELLO RURAL WATER ASSOC.,Wapello County
IA,INDIANOLA WATER SUPPLY,Warren County
IA,WASHINGTON WATER DEPARTMENT,Washington County
ID,City of Post Falls,Kootenai County
ID,City of Juliaetta,Latah County
ID,City of Lewiston,Nez Perce County
ID,Oakley Valley Water Corporation,Cassia County
ID,City of Chubbuck,Bannock County
ID,City of Pocatello,Bannock County
ID,City of Ammon,Bonneville County
ID,City of Idaho Falls,Bonneville County
ID,City of Coeur d'Alene,Kootenai County
ID,Moscow Water Department,Latah County
ID,City of Caldwell,Canyon County
ID,City of Middleton,Canyon County
ID,City of Nampa,Canyon County
ID,"United Water Idaho, Inc.",Ada County
ID,Garden City Water & Sewer System,Ada County
ID,Meridian Water Department,Ada County
ID,City of Twin Falls,Twin Falls County
ID,City of Blackfoot,Bingham County
ID,City of Soda Springs,Caribou County
ID,"Falls Water Company, Inc.",Bonneville County
ID,City of Rexburg,Madison County
ID,City of Genesee,Latah County
ID,Lewiston Orchards Irrigation District,Nez Perce County
ID,City of Kuna,Ada County
ID,IDOC - Idaho St. Correctional Inst.,Ada County
ID,City of Mountain Home,Elmore County
ID,SANDPOINT PUBLIC WORKS DEPT,Bonner County
ID,AVONDALE IRRIGATION DIST,Kootenai County
ID,HAYDEN LAKE IRRIGATION DIST,Kootenai County
ID,POST FALLS CITY OF,Kootenai County
ID,COUGAR BAY WATER ASSOCIATION,Kootenai County
ID,KOOSKIA WATER DEPT,Idaho County
ID,POTLATCH CITY OF,Latah County
ID,LEWISTON ORCHARDS IRRIGATION DIST,Nez Perce County
ID,CALDWELL CITY OF,Canyon County
ID,MIDDLETON CITY OF,Canyon County
ID,WEISER CITY OF,Washington County
ID,Veolia Water ID,Ada County
ID,CAPITOL WATER CORP,Ada County
ID,Veolia Eagle,Ada County
ID,MOUNTAIN HOME CITY OF,Elmore County
ID,MOUNTAIN HOME AIR FORCE BASE,Elmore County
ID,BUHL CITY OF,Twin Falls County
ID,SHELLEY CITY OF,Bingham County
ID,IDAHO FALLS CITY OF,Bonneville County
ID,ST ANTHONY,Fremont County
ID,REXBURG CITY OF,Madison County
ID,KANIKSU SHORES ESTATES,Bonner County
ID,RATHDRUM CITY OF,Kootenai County
ID,PIERCE CITY OF,Clearwater County
ID,MOSCOW WATER DEPT,Latah County
ID,NAMPA CITY OF,Canyon County
ID,FRUITLAND CITY OF,Payette County
ID,PAYETTE CITY OF,Payette County
ID,GARDEN CITY WATER AND SEWER SYSTEM,Ada County
ID,KUNA CITY OF,Ada County
ID,MERIDIAN WATER DEPT,Ada County
ID,"EAGLE, CITY OF",Ada County
ID,STAR SEWER AND WATER DIST WATER SYSTEM,Ada County
ID,KETCHUM CITY OF,Blaine County
ID,BURLEY WATER DEPT,Cassia County
ID,HEYBURN CITY OF,Minidoka County
ID,CHUBBUCK CITY OF,Bannock County
ID,POCATELLO CITY OF,Bannock County
ID,BLACKFOOT CITY OF,Bingham County
ID,AMERICAN FALLS CITY OF,Power County
ID,AMMON CITY OF,Bonneville County
ID,FALLS WATER COMPANY INC,Bonneville County
IL,Quincy,Adams County
IL,Belvidere,Boone County
IL,Gifford,Champaign County
IL,IL American Water Co. - Champaign,Champaign County
IL,U. of Illinois - Champaign,Champaign County
IL,Mattoon,Coles County
IL,Summit,Cook County
IL,Bellwood,Cook County
IL,Berwyn,Cook County
IL,Blue Island,Cook County
IL,Brookfield,Cook County
IL,Calumet City,Cook County
IL,Chicago Heights,Cook County
IL,Chicago Ridge,Cook County
IL,Des Plaines,Cook County
IL,Evanston,Cook County
IL,Forest Park,Cook County
IL,Franklin Park,Cook County
IL,Glenview,Cook County
IL,Hazel Crest,Cook County
IL,Homewood,Cook County
IL,La Grange Park,Cook County
IL,Markham,Cook County
IL,Maywood,Cook County
IL,Oak Lawn,Cook County
IL,Orland Park,Cook County
IL,Palatine,Cook County
IL,Palos Heights,Cook County
IL,Palos Hills,Cook County
IL,Park Ridge,Cook County
IL,Richton Park,Cook County
IL,Riverdale,Cook County
IL,River Grove,Cook County
IL,Worth,Cook County
IL,Bartlett,Cook County
IL,Hanover Park,Cook County
IL,Tinley Park,Cook County
IL,IL American Water Co. - Chicago,Peoria County
IL,Justice-Willow Springs Water Commission,Cook County
IL,South Stickny SD,Cook County
IL,Des Plaines MHP,Cook County
IL,De Kalb,DeKalb County
IL,Addison,DuPage County
IL,Bloomingdale,DuPage County
IL,Darien,DuPage County
IL,Glen Ellyn,DuPage County
IL,Lombard,DuPage County
IL,Oak Brook,DuPage County
IL,Villa Park,DuPage County
IL,Warrenville,DuPage County
IL,West Chicago,DuPage County
IL,Wood Dale,DuPage County
IL,Woodridge,DuPage County
IL,Bensenville,DuPage County
IL,Burr Ridge,DuPage County
IL,Hinsdale,DuPage County
IL,Naperville,DuPage County
IL,Benton,Franklin County
IL,Kinkaid Area Water System,Jackson County
IL,Jersey RWC,Jersey County
IL,North Aurora,Kane County
IL,South Elgin,Kane County
IL,IL Youth Center - St. Charles,Kane County
IL,Oswego,Kendall County
IL,Yorkville,Kendall County
IL,Galesburg,Knox County
IL,Antioch,Lake County
IL,Highland Park,Lake County
IL,Lake Forest,Lake County
IL,Libertyville,Lake County
IL,Lindenhurst,Lake County
IL,North Chicago,Lake County
IL,Lake Co. PW - Vernon Hills,Lake County
IL,Wauconda,Lake County
IL,Deerfield,Lake County
IL,Great Lakes Naval Training Station,Lake County
IL,Lake Co. PW - Wildwood Subdivision,Lake County
IL,IL American Water Co. - Streator,Livingston County
IL,IL American Water Co. - Pontiac,Livingston County
IL,IL American Water Co. - Lincoln,Logan County
IL,Good Hope,McDonough County
IL,Macomb,McDonough County
IL,Cary,McHenry County
IL,Huntley,McHenry County
IL,Bloomington,McLean County
IL,Normal,McLean County
IL,Decatur,Macon County
IL,Bethalto,Madison County
IL,Edwardsville,Madison County
IL,IL American Water Co. - Granite City,Madison County
IL,IL American Water Co. - Alton,Madison County
IL,North East Central PWD,Madison County
IL,Rochelle,Ogle County
IL,IL American Water Co. - Peoria,Peoria County
IL,East Moline,Rock Island County
IL,Caseyville,St. Clair County
IL,Freeburg,St. Clair County
IL,O'Fallon,St. Clair County
IL,Commonfields of Cahokia PWD,St. Clair County
IL,IL American Water Co. - East St. Louis,St. Clair County
IL,Springfield,Sangamon County
IL,IL American Water Co. - Pekin,Tazewell County
IL,IL American Water Co. - Sterling,Whiteside County
IL,IL American - Alpine Heights,Jefferson County
IL,IL American Water Co. - Homer Township,Will County
IL,Joliet,Will County
IL,New Lenox,Will County
IL,IL American Water Co. - West Suburban,Madison County
IL,North Park PWD,Winnebago County
IL,Eureka,Woodford County
IL,Rantoul,Champaign County
IL,Taylorville,Christian County
IL,Charleston,Coles County
IL,Alsip,Cook County
IL,Bridgeview,Cook County
IL,Country Club Hills,Cook County
IL,Dolton,Cook County
IL,Elmwood Park,Cook County
IL,Evergreen Park,Cook County
IL,Glenwood,Cook County
IL,Harvey,Cook County
IL,Hickory Hills,Cook County
IL,Hoffman Estates,Cook County
IL,Lansing,Cook County
IL,Lemont,Cook County
IL,Lincolnwood,Cook County
IL,Matteson,Cook County
IL,Melrose Park,Cook County
IL,Niles,Cook County
IL,Northbrook,Cook County
IL,Oak Forest,Cook County
IL,Oak Park,Cook County
IL,Rolling Meadows,Cook County
IL,Sauk,Cook County
IL,Schiller Park,Cook County
IL,Skokie,Cook County
IL,Streamwood,Cook County
IL,Westchester,Cook County
IL,Western Springs,Cook County
IL,Wilmette,Cook County
IL,Arlington Heights,Cook County
IL,Buffalo Grove,Lake County
IL,Park Forest,Cook County
IL,Schaumburg,Cook County
IL,Wheeling,Cook County
IL,North Maine Utilities,Cook County
IL,Leyden Township Water District,Cook County
IL,Chicago,Cook County
IL,Northern Illinois University - Dekalb,DeKalb County
IL,Downers Grove,DuPage County
IL,Glendale Heights,DuPage County
IL,Lisle,DuPage County
IL,Westmont,DuPage County
IL,Wheaton,DuPage County
IL,Roselle,DuPage County
IL,Effingham,Effingham County
IL,Minooka,Grundy County
IL,Morris,Grundy County
IL,Atkinson,Henry County
IL,Kewanee,Henry County
IL,Carbondale,Jackson County
IL,Murdale PWD,Jackson County
IL,Carpentersville,Kane County
IL,Geneva,Kane County
IL,Aurora,Kane County
IL,Batavia,Kane County
IL,Elgin,Kane County
IL,Montgomery,Kane County
IL,St. Charles,Kane County
IL,Aqua IL - Kankakee,Kankakee County
IL,Plano,Kendall County
IL,Gurnee,Lake County
IL,Lake Zurich,Lake County
IL,Mundelein,Lake County
IL,Round Lake,Lake County
IL,Round Lake Beach,Lake County
IL,Waukegan,Lake County
IL,Rockland MHP,Lake County
IL,Fox Lake Plant,Lake County
IL,Dixon,Lee County
IL,Algonquin,McHenry County
IL,Crystal Lake,McHenry County
IL,Lake in the Hills,McHenry County
IL,Glen Carbon,Madison County
IL,Troy,Madison County
IL,Wood River,Madison County
IL,Collinsville,Madison County
IL,Salem,Marion County
IL,Centralia,Marion County
IL,Jacksonville,Morgan County
IL,Pleasant Valley PWD,Peoria County
IL,Rock Island,Rock Island County
IL,Mascoutah,St. Clair County
IL,Chatham,Sangamon County
IL,Freeport,Stephenson County
IL,East Peoria,Tazewell County
IL,Morton,Tazewell County
IL,Aqua IL - Vermilion County,Vermilion County
IL,Washington County Water Company,Washington County
IL,Crest Hill,Will County
IL,Frankfort,Will County
IL,Lockport,Will County
IL,Mokena,Will County
IL,Peotone,Will County
IL,Romeoville,Will County
IL,Shorewood,Will County
IL,Herrin,Williamson County
IL,Marion,Williamson County
IL,Loves Park,Winnebago County
IL,Rockford,Winnebago County
IL,Mill Creek PWD,Adams County
IL,Cicero,Cook County
IL,Crestwood,Cook County
IL,Lyons,Cook County
IL,Midlothian,Cook County
IL,Morton Grove,Cook County
IL,Mt. Prospect,Cook County
IL,Norridge,Cook County
IL,River Forest,Cook County
IL,South Holland,Cook County
IL,Winnetka,Cook County
IL,Elk Grove Village,Cook County
IL,North Lake,Cook County
IL,IL American - Fernway,Cook County
IL,Robinson-Palestine Water Commission,Crawford County
IL,Sycamore,DeKalb County
IL,Farmer City,De Witt County
IL,Carol Stream,DuPage County
IL,Elmhurst,DuPage County
IL,Orion,Henry County
IL,Murphysboro,Jackson County
IL,EJ Water Corporation,Effingham County
IL,Mt. Vernon,Jefferson County
IL,Jerseyville,Jersey County
IL,Sleepy Hollow,Kane County
IL,Grayslake,Lake County
IL,Zion,Lake County
IL,Barrington,Cook County
IL,Ottawa,LaSalle County
IL,Peru,LaSalle County
IL,Dwight,Livingston County
IL,McHenry,McHenry County
IL,Nunda Utilities Company,DuPage County
IL,Waverly,Morgan County
IL,Tamaroa,Perry County
IL,Moline,Rock Island County
IL,North Pekin,Tazewell County
IL,Washington,Tazewell County
IL,Plainfield,Will County
IL,Carterville,Williamson County
IL,Lake of Egypt PWD,Williamson County
IL,Clinton Power Station - Exelon,De Witt County
IL,MILL CREEK PWD,Adams County
IL,BOND/MADISON WATER COMPANY,Bond County
IL,POPLAR GROVE WEST-COUNTRYSIDE,Boone County
IL,AQUA ILLINOIS-CANDLEWICK DVN,Boone County
IL,BUDA,Bureau County
IL,DOVER,Bureau County
IL,SPRING VALLEY,Bureau County
IL,SANGAMON VALLEY PWD,Champaign County
IL,IL AMERICAN-CHAMPAIGN,Champaign County
IL,PANA,Christian County
IL,TAYLORVILLE,Christian County
IL,CLARK-EDGAR RWD,Edgar County
IL,CASEY,Clark County
IL,FLORA,Clay County
IL,EMBARRAS AREA WATER DISTRICT,Coles County
IL,BLUE ISLAND,Cook County
IL,BRIDGEVIEW,Cook County
IL,CALUMET CITY,Cook County
IL,CICERO,Cook County
IL,EVANSTON,Cook County
IL,EVERGREEN PARK,Cook County
IL,FLOSSMOOR,Cook County
IL,FRANKLIN PARK,Cook County
IL,HARVEY,Cook County
IL,HARWOOD HEIGHTS,Cook County
IL,HILLSIDE,Cook County
IL,HOFFMAN ESTATES,Cook County
IL,HOMEWOOD,Cook County
IL,KENILWORTH,Cook County
IL,LA GRANGE PARK,Cook County
IL,MELROSE PARK,Cook County
IL,MORTON GROVE,Cook County
IL,MOUNT PROSPECT,Cook County
IL,NORRIDGE,Cook County
IL,NORTHBROOK,Cook County
IL,OAK FOREST,Cook County
IL,ORLAND PARK,Cook County
IL,PALATINE,Cook County
IL,PALOS HILLS,Cook County
IL,PARK RIDGE,Cook County
IL,POSEN,Cook County
IL,RIVER FOREST,Cook County
IL,STICKNEY,Cook County
IL,WESTERN SPRINGS,Cook County
IL,ARLINGTON HEIGHTS,Cook County
IL,STEGER,Cook County
IL,SCHAUMBURG,Cook County
IL,TINLEY PARK,Cook County
IL,WHEELING,Cook County
IL,IL AMERICAN-CHICAGO SUBURBAN,Cook County
IL,AQUA ILLINOIS-NORTH MAINE UTILITIES,Lake County
IL,DE KALB,DeKalb County
IL,CAROL STREAM,DuPage County
IL,ELMHURST,DuPage County
IL,OAK BROOK,DuPage County
IL,WHEATON,DuPage County
IL,BENSENVILLE,DuPage County
IL,BURR RIDGE,DuPage County
IL,HINSDALE,DuPage County
IL,ROSELLE,DuPage County
IL,FAYETTE WATER COMPANY,Fayette County
IL,"MORRIS, IL",Grundy County
IL,BOOKWALTER WOODS MHP,Grundy County
IL,HAMILTON COUNTY WATER DISTRICT,Hamilton County
IL,ASHKUM,Iroquois County
IL,CARBONDALE,Jackson County
IL,SOUTH HIGHWAY PWD,Jackson County
IL,E J WATER COOP,Effingham County
IL,MOUNT VERNON,Jefferson County
IL,JERSEYVILLE,Jersey County
IL,JERSEY RWC,Jersey County
IL,GALENA,Jo Daviess County
IL,UTL INC-GALENA TERRITORY,Jo Daviess County
IL,MILL CREEK WATER RECLAMATION DISTRICT,Kane County
IL,PINGREE GROVE,Kane County
IL,GENEVA,Kane County
IL,SOUTH ELGIN,Kane County
IL,WEST DUNDEE,Kane County
IL,PLANO,Kendall County
IL,GALESBURG,Knox County
IL,GRAYSLAKE,Lake County
IL,LAKE BLUFF,Lake County
IL,LAKE FOREST,Lake County
IL,LAKE VILLA,Lake County
IL,LAKE ZURICH,Lake County
IL,LIBERTYVILLE,Lake County
IL,LINCOLNSHIRE,Lake County
IL,PARK CITY,Lake County
IL,ROUND LAKE BEACH,Lake County
IL,ROUND LAKE PARK,Lake County
IL,VOLO,Lake County
IL,BARRINGTON,Cook County
IL,ISLAND LAKE,Lake County
IL,MARSEILLES,LaSalle County
IL,OGLESBY,LaSalle County
IL,PERU,LaSalle County
IL,IL AMERICAN-STREATOR,LaSalle County
IL,LAWRENCEVILLE,Lawrence County
IL,"WOODHAVEN, IL",Lee County
IL,IL AMERICAN-PONTIAC,Livingston County
IL,IL American - Lincoln,Logan County
IL,BLANDINSVILLE,McDonough County
IL,BUSHNELL,McDonough County
IL,FOX RIVER GROVE,McHenry County
IL,MCHENRY,McHenry County
IL,MARENGO,McHenry County
IL,"WOODSTOCK, IL",McHenry County
IL,WONDER LAKE,McHenry County
IL,"BLOOMINGTON, IL",McLean County
IL,LE ROY,McLean County
IL,"FORSYTH, IL",Macon County
IL,LONG CREEK TOWNSHIP PWS,Macon County
IL,GILLESPIE,Macoupin County
IL,MOUNT OLIVE,Macoupin County
IL,BRIGHTON,Macoupin County
IL,EDWARDSVILLE,Madison County
IL,GLEN CARBON,Madison County
IL,HIGHLAND,Madison County
IL,IL AMERICAN-GRANITE CITY,Madison County
IL,IL AMERICAN-ALTON,Madison County
IL,MITCHELL PWD,Madison County
IL,PONTOON BEACH PWD,Madison County
IL,SOUTHERN IL UNIVERSITY-EDWARDSVILLE,Madison County
IL,KINMUNDY,Marion County
IL,SALEM,Marion County
IL,FORT MASSAC PWD,Massac County
IL,PETERSBURG,Menard County
IL,HILLSBORO,Montgomery County
IL,PEORIA HEIGHTS,Peoria County
IL,IL AMERICAN-PEORIA,Peoria County
IL,PITTSFIELD,Pike County
IL,OLNEY,Richland County
IL,EAST MOLINE,Rock Island County
IL,ROCK ISLAND,Rock Island County
IL,COAL VALLEY,Rock Island County
IL,"ROCK ISLAND ARSENAL, US ARMY",Rock Island County
IL,FREEBURG,St. Clair County
IL,MILLSTADT,St. Clair County
IL,IL AMERICAN-EAST ST LOUIS,St. Clair County
IL,HARRISBURG,Saline County
IL,SALINE VALLEY CONSERVANCY DISTRICT,Gallatin County
IL,RIVERTON,Sangamon County
IL,ROCHESTER,Sangamon County
IL,"SPRINGFIELD, IL",Sangamon County
IL,BLUFFS,Scott County
IL,FREEPORT,Stephenson County
IL,EAST PEORIA,Tazewell County
IL,"WASHINGTON, IL",Tazewell County
IL,IL AMERICAN-PEKIN,Tazewell County
IL,ANNA,Union County
IL,GEORGETOWN,Vermilion County
IL,AQUA ILLINOIS-VERMILION COUNTY,Vermilion County
IL,MONMOUTH,Warren County
IL,CARMI,White County
IL,MORRISON,Whiteside County
IL,IL AMERICAN-STERLING,Whiteside County
IL,IL AMERICAN-HOMER TOWNSHIP,Will County
IL,CREST HILL,Will County
IL,FRANKFORT,Will County
IL,LOCKPORT,Will County
IL,NEW LENOX,Will County
IL,IL AMERICAN-WEST SUBURBAN,Cook County
IL,AQUA ILLINOIS-UNIVERSITY PARK,Will County
IL,"SHOREWOOD, IL",Will County
IL,AQUA ILLINOIS-WILLOWBROOK,DuPage County
IL,JOHNSTON CITY,Williamson County
IL,MARION,Williamson County
IL,CORINTH PWD,Williamson County
IL,COAL VALLEY PWD,Rock Island County
IL,CHERRY VALLEY,Winnebago County
IL,"ROCKFORD, IL",Winnebago County
IL,NORTHSHORE UNIVERSITY EVANSTON,Cook County
IL,QUINCY,Adams County
IL,ABS WATER COOP,Adams County
IL,GREENVILLE,Bond County
IL,BELVIDERE,Boone County
IL,BEARDSTOWN,Cass County
IL,MAHOMET,Champaign County
IL,RANTOUL,Champaign County
IL,U OF I-CHAMPAIGN,Champaign County
IL,MARSHALL,Clark County
IL,CARLYLE,Clinton County
IL,NEW BADEN,Clinton County
IL,MATTOON,Coles County
IL,EASTERN ILLINOIS UNIVERSITY,Coles County
IL,ALSIP,Cook County
IL,SUMMIT,Cook County
IL,BERKELEY,Cook County
IL,BROADVIEW,Cook County
IL,BROOKFIELD,Cook County
IL,BURNHAM,Cook County
IL,CHICAGO HEIGHTS,Cook County
IL,CHICAGO RIDGE,Cook County
IL,DES PLAINES,Cook County
IL,DIXMOOR,Cook County
IL,FOREST PARK,Cook County
IL,GLENCOE,Cook County
IL,PALOS PARK,Cook County
IL,GLENVIEW,Cook County
IL,GLENWOOD,Cook County
IL,HAZEL CREST,Cook County
IL,HICKORY HILLS,Cook County
IL,HOMETOWN,Cook County
IL,LEMONT,Cook County
IL,LINCOLNWOOD,Cook County
IL,MARKHAM,Cook County
IL,MATTESON,Cook County
IL,MAYWOOD,Cook County
IL,"NORTHFIELD, IL",Cook County
IL,NORTH RIVERSIDE,Cook County
IL,OAK LAWN,Cook County
IL,PALOS HEIGHTS,Cook County
IL,RICHTON PARK,Cook County
IL,RIVER GROVE,Cook County
IL,ROBBINS,Cook County
IL,ROLLING MEADOWS,Cook County
IL,SCHILLER PARK,Cook County
IL,SOUTH HOLLAND,Cook County
IL,STONE PARK,Cook County
IL,STREAMWOOD,Cook County
IL,WILMETTE,Cook County
IL,WORTH,Cook County
IL,BARTLETT,Cook County
IL,BUFFALO GROVE,Lake County
IL,ELK GROVE VILLAGE,Cook County
IL,NORTHLAKE,Cook County
IL,IL AMERICAN-FERNWAY,Madison County
IL,LEYDEN TWSP WATER DISTRICT,Cook County
IL,CHICAGO,Cook County
IL,ROBINSON-PALESTINE WATER COMMISSION,Crawford County
IL,GENOA,DeKalb County
IL,SYCAMORE,DeKalb County
IL,NORTHERN ILLINOIS UNIVERSITY-DEKALB,DeKalb County
IL,CLINTON,De Witt County
IL,TUSCOLA,Douglas County
IL,ADDISON,DuPage County
IL,BLOOMINGDALE,DuPage County
IL,GLENDALE HEIGHTS,DuPage County
IL,GLEN ELLYN,DuPage County
IL,ITASCA,DuPage County
IL,LISLE,DuPage County
IL,LOMBARD,DuPage County
IL,VILLA PARK,DuPage County
IL,WARRENVILLE,DuPage County
IL,WEST CHICAGO,DuPage County
IL,WILLOWBROOK,DuPage County
IL,WINFIELD,DuPage County
IL,WOOD DALE,DuPage County
IL,WOODRIDGE,DuPage County
IL,NAPERVILLE,DuPage County
IL,Prairie Path Water Co. - Clarendon,Jo Daviess County
IL,IL AMERICAN-COUNTRY CLUB,Cook County
IL,IL AMERICAN-LIBERTY RIDGE WEST,Jasper County
IL,IL AMERICAN-VALLEY VIEW,Kane County
IL,PARIS,Edgar County
IL,EFFINGHAM,Effingham County
IL,VANDALIA CORRECTIONAL CENTER,Fayette County
IL,WEE-MA-TUK WATER DISTRICT,Fulton County
IL,"CANTON, IL",Fulton County
IL,"CARROLLTON, IL",Greene County
IL,MINOOKA,Grundy County
IL,SHADY OAKS MHP,Grundy County
IL,DALLAS RURAL WATER DISTRICT,Hancock County
IL,GENESEO,Henry County
IL,GILBERTS,Kane County
IL,NORTH AURORA,Kane County
IL,SUGAR GROVE,Kane County
IL,AURORA,Kane County
IL,BATAVIA,Kane County
IL,"ELGIN, IL",Kane County
IL,WILLOW LAKE ESTATES MHP,Kane County
IL,ST CHARLES,Kane County
IL,AQUA ILLINOIS-KANKAKEE,Kankakee County
IL,OSWEGO,Kendall County
IL,ABINGDON,Knox County
IL,ALTONA,Knox County
IL,FOX LAKE,Lake County
IL,GURNEE,Lake County
IL,"HIGHLAND PARK, IL",Lake County
IL,LINDENHURST,Lake County
IL,MUNDELEIN,Lake County
IL,RIVERWOODS,Lake County
IL,VERNON HILLS - LAKE CO PW,Lake County
IL,WAUCONDA,Lake County
IL,WAUKEGAN,Lake County
IL,WINTHROP HARBOR,Lake County
IL,DEERFIELD,Lake County
IL,GREAT LAKES NAVAL TRAINING STATION,Lake County
IL,MENDOTA,LaSalle County
IL,Prairie Path Water Co. - Lake Holiday,LaSalle County
IL,DIXON,Lee County
IL,FAIRBURY,Livingston County
IL,MACOMB,McDonough County
IL,ALGONQUIN,McHenry County
IL,CARY,McHenry County
IL,CRYSTAL LAKE,McHenry County
IL,HUNTLEY,McHenry County
IL,LAKE IN THE HILLS,McHenry County
IL,NORMAL,McLean County
IL,MOUNT ZION,Macon County
IL,MARYVILLE,Madison County
IL,"TROY, IL",Madison County
IL,"COLLINSVILLE, IL",Madison County
IL,MORO PWD,Madison County
IL,NORTH EAST CENTRAL PWD,Madison County
IL,CENTRALIA,Marion County
IL,RACCOON WATER COMPANY,Marion County
IL,FOUNTAIN WATER DISTRICT,Monroe County
IL,COLUMBIA,Monroe County
IL,WATERLOO,Monroe County
IL,ALEXANDER WATER DISTRICT,Alexander County
IL,JACKSONVILLE,Morgan County
IL,SOUTH JACKSONVILLE,Morgan County
IL,OREGON,Ogle County
IL,ROCHELLE,Ogle County
IL,CHILLICOTHE,Peoria County
IL,PLEASANT VALLEY PWD,Peoria County
IL,DUQUOIN,Perry County
IL,PIKE COUNTY PWD,Pike County
IL,CHESTER,Randolph County
IL,IL AMERICAN-ANDALUSIA,Rock Island County
IL,MOLINE,Rock Island County
IL,SILVIS,Rock Island County
IL,LEBANON,St. Clair County
IL,MASCOUTAH,St. Clair County
IL,O FALLON,St. Clair County
IL,CAHOKIA HEIGHTS,St. Clair County
IL,"AMERICAN WATER OPER AND MAINTENANCE, LLC",Bexar County
IL,ELDORADO,Saline County
IL,"AUBURN, IL",Sangamon County
IL,CHATHAM,Sangamon County
IL,WILLIAMSVILLE,Sangamon County
IL,CURRAN-GARDNER TOWNSHIP PWD,Sangamon County
IL,HOOPESTON,Vermilion County
IL,WASHINGTON COUNTY WATER COMPANY,Washington County
IL,FAIRFIELD,Wayne County
IL,FULTON,Whiteside County
IL,BRAIDWOOD,Will County
IL,CHANNAHON,Will County
IL,CRETE,Will County
IL,MOKENA,Will County
IL,AQUA ILLINOIS-PEOTONE,Kankakee County
IL,ROMEOVILLE,Will County
IL,HERRIN,Williamson County
IL,LAKE OF EGYPT PWD,Williamson County
IL,LOVES PARK,Winnebago County
IL,ROCKTON,Winnebago County
IL,IL AMERICAN-SOUTH BELOIT,Winnebago County
IL,METAMORA,Woodford County
IL,LOW POINT WATER DISTRICT,Lake County
IL,SHERRARD JR/SR HIGH SCHOOL,Rock Island County
IL,LUTHERAN GENERAL HOSPITAL,Cook County
IL,U OF I CHICAGO MEDICAL CENTER,Cook County
IL,NORTHSHORE UNIV GLENBROOK,Cook County
IL,ADVOCATE CHRIST MEDICAL CENTER,Cook County
IN,Indiana Gateway Industrial Park,Marion County
IN,Aqua IN - Aboite,Allen County
IN,Columbus Municipal Utility,Bartholomew County
IN,Silver Creek Water Corporation,Clark County
IN,Watson Rural Water Company,Clark County
IN,IN American Water Co. - Muncie,Delaware County
IN,Patoka Lake Regional Water,Dubois County
IN,Elkhart Public Works & Utilities,Elkhart County
IN,Goshen Water Utility,Elkhart County
IN,Attica Water Utility,Fountain County
IN,Greenfield Water Utility,Hancock County
IN,"Ramsey Water Company, Inc.",Harrison County
IN,South Harrison Water Corporation,Harrison County
IN,Brownsburg Waterworks,Hendricks County
IN,IN American Water Co. - Kokomo,Howard County
IN,Huntington Water Department,Huntington County
IN,IN American Water Co. - Seymour,Johnson County
IN,Crown Point Waterworks,Lake County
IN,IN American Water Co. - Northwest,Lake County
IN,Lake Station Water Department,Lake County
IN,Schererville Water Department,Lake County
IN,Laporte Waterworks,Larimer County
IN,City of Lawrence Utilities,Marion County
IN,City of Bloomington Utilities,Monroe County
IN,IN American Water Co. - Mooresville,Morgan County
IN,"Mecca Waterworks, Inc.",Hillsborough County
IN,Valparaiso Department of Waterworks,Porter County
IN,Mishawaka Utilities,St. Joseph County
IN,South Bend Waterworks,St. Joseph County
IN,Lafayette Waterworks,Boulder County
IN,Purdue University Waterworks,Tippecanoe County
IN,IN American Water Co. - West Lafayette,Tippecanoe County
IN,Evansville Water Utility,Vanderburgh County
IN,IN American Water Co. - Terre Haute,Vigo County
IN,IN American Water Co. - Newburgh,Warrick County
IN,Salem Waterworks,Washington County
IN,Robert Fase Senior Center,Jasper County
IN,Fort Wayne -  Rivers Filtration Plant,Allen County
IN,Lebanon Utilities,Boone County
IN,Brown County Water Utility,Brown County
IN,IN American Water Co. - Southern Indiana,Clark County
IN,Washington Waterworks,Adams County
IN,Greensburg Municipal Waterworks,Decatur County
IN,Jasper Municipal Water Utility,Dubois County
IN,Connersville Utilities,Fayette County
IN,Fort Branch Water Department,Gibson County
IN,Oakland City Water Department,Gibson County
IN,Princeton Water Department,Gibson County
IN,Marion City Waterworks,Grant County
IN,Eastern Heights Utilities,Greene County
IN,Westfield Public Works,Hamilton County
IN,Citizens Water - Plainfield,Marion County
IN,New Castle Utilities,Henry County
IN,Jackson County Water Utility,Jackson County
IN,Bargersville Water Department,Johnson County
IN,IN American Water Co. - Johnson County,Johnson County
IN,Vincennes Water Department,Knox County
IN,IN American Water Co. - Warsaw,Kosciusko County
IN,Dyer Water Department,Lake County
IN,East Chicago Waterworks,Lake County
IN,Griffith Water Department,Lake County
IN,Highland Waterworks,Fulton County
IN,Michigan City Department of Waterworks,LaPorte County
IN,Bedford City Utilities,Lawrence County
