NAME,Median_Income,Child_Poverty_Count,Child_Poverty_Rate,Poverty_Count,Poverty_Rate,All_Child_Poverty_Count,All_Poverty_Count,STABREV,STATE,YEAR,Z_score
Florida,55433,831420,20.0,2854438,13.7,4163488,20882673,FL,12,2018,0.12616486391123372
Georgia,58634,516311,21.0,1484439,14.5,2463467,10238647,GA,13,2018,0.3817158223016475
Hawaii,80527,35184,11.8,124400,9.0,297429,1382453,HI,15,2018,-1.3751970166324456
Idaho,55524,62392,14.2,201804,11.7,440678,1723134,ID,16,2018,-0.5127125320648002
Illinois,65063,457282,16.2,1509348,12.1,2817432,12447296,IL,17,2018,-0.3849370528695933
Indiana,55725,268470,17.5,844165,13.0,1531976,6489270,IN,18,2018,-0.09744222468037793
Iowa,60071,96859,13.5,342574,11.2,716377,3055988,IA,19,2018,-0.6724318810588087
Kansas,58150,102616,14.8,336892,11.9,691758,2825674,KS,20,2018,-0.4488247924671965
Kentucky,50189,219283,22.3,723053,16.7,981282,4326301,KY,21,2018,1.0844809578752845
Louisiana,48021,286532,26.5,848005,18.7,1080172,4529047,LA,22,2018,1.7233583538513184
Maine,55579,35960,14.8,151458,11.6,242743,1301882,ME,23,2018,-0.5446564018636018
Maryland,83076,159872,12.1,538824,9.1,1318092,5899814,MD,24,2018,-1.3432531468336442
Massachusetts,79817,166516,12.4,668402,10.0,1343342,6665106,MA,25,2018,-1.0557583186444288
Michigan,56640,409201,19.3,1369235,14.0,2122361,9774136,MI,26,2018,0.22199647330763903
Minnesota,70295,147732,11.5,527445,9.6,1279334,5488353,MN,27,2018,-1.1835337978396356
Mississippi,44740,195794,28.2,571402,19.8,694588,2886375,MS,28,2018,2.0747409216381376
Missouri,54412,245703,18.3,785343,13.2,1345718,5943697,MO,29,2018,-0.03355448508277477
Montana,55248,36711,16.4,134185,12.9,224447,1037468,MT,30,2018,-0.1293860944791795
Nebraska,59724,60389,12.9,205393,11.0,467294,1875315,NE,31,2018,-0.7363196206564119
Nevada,58740,124828,18.4,391347,13.1,676712,2991991,NV,32,2018,-0.06549835488157635
New Hampshire,75322,25379,10.1,100076,7.6,251892,1312009,NH,33,2018,-1.8224111938156695
New Jersey,81777,261055,13.5,831386,9.5,1932876,8739317,NJ,34,2018,-1.2154776676384373
New Mexico,47405,119378,25.3,386739,18.8,472582,2051723,NM,35,2018,1.7553022236501206
New York,67648,751694,18.8,2603303,13.7,3995453,19037616,NY,36,2018,0.12616486391123372
North Carolina,53922,457103,20.2,1422154,14.1,2259485,10100381,NC,37,2018,0.2539403431064406
North Dakota,65250,19332,11.0,77959,10.6,176384,736622,ND,38,2018,-0.8640950998516187
Ohio,56155,489053,19.2,1568586,13.8,2542193,11362293,OH,39,2018,0.15810873371003586
Oklahoma,51914,200399,21.4,593936,15.5,935776,3825031,OK,40,2018,0.7011545202896644
Oregon,63168,134073,15.7,516014,12.5,855540,4113121,OR,41,2018,-0.2571615736743864
Pennsylvania,60891,433329,16.7,1517936,12.2,2595708,12393999,PA,42,2018,-0.35299318307079175
Rhode Island,63787,36239,18.0,130538,12.8,201460,1016444,RI,44,2018,-0.1613299642779811
South Carolina,52449,241192,22.1,750582,15.2,1089131,4944734,SC,45,2018,0.6053229108932592
South Dakota,57041,34211,16.1,109814,12.9,212111,852354,SD,46,2018,-0.1293860944791795
Tennessee,52366,322616,21.8,1003055,15.2,1477551,6603092,TN,47,2018,0.6053229108932592
Texas,60632,1543228,21.1,4181623,14.9,7303725,28074669,TX,48,2018,0.5094913014968544
