NAME,Median_Income,Child_Poverty_Count,Child_Poverty_Rate,Poverty_Count,Poverty_Rate,All_Child_Poverty_Count,All_Poverty_Count,STABREV,STATE,YEAR,Z_score
South Carolina,67988,211225,18.8,724634,13.9,1123023,5231348,SC,45,2023,0.19005260350883743
South Dakota,72794,29314,13.5,101184,11.4,217847,890824,SD,46,2023,-0.608544141461205
Tennessee,67651,290918,18.9,963479,13.8,1539389,6969464,TN,47,2023,0.15810873371003586
Texas,75778,1373461,18.4,4091368,13.7,7463443,29889509,TX,48,2023,0.12616486391123372
Utah,93030,85097,9.2,302676,9.0,919991,3363174,UT,49,2023,-1.3751970166324456
Vermont,80626,11515,10.2,61591,9.9,112342,624378,VT,50,2023,-1.0877021884432303
Virginia,89864,235215,12.7,867052,10.2,1850016,8472709,VA,51,2023,-0.9918705790468256
Washington,94553,196142,12.1,793263,10.3,1614628,7678884,WA,53,2023,-0.9599267092480235
West Virginia,55875,67559,19.6,281922,16.4,344845,1716160,WV,54,2023,0.9886493484788793
Wisconsin,74671,157510,12.8,614069,10.6,1227404,5781488,WI,55,2023,-0.8640950998516187
Wyoming,73558,15355,12.0,59458,10.4,127975,571034,WY,56,2023,-0.9279828394492219
